Feature_Name,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Feature_Type,Quad,Approval_Status,Origin
Land,5.2,48.26,-8.72,48.3,48.22,-8.65,-8.78,"Crater, craters",mc04,Approved,"Town in Alabama, USA."
Langtang,9.8,-38.12,-135.96,-38.04,-38.18,-135.85,-136.06,"Crater, craters",mc24,Approved,Village in Nepal.
La Paz,1.39,21.05,-49.03,21.06,21.04,-49.02,-49.04,"Crater, craters",mc10,Approved,Mexican port.
Lapri,3.01,20.32,107.49,20.35,20.3,107.52,107.46,"Crater, craters",mc14,Approved,Town in Russia.
Lar,6.85,-25.83,-29.1,-25.77,-25.89,-29.04,-29.17,"Crater, craters",mc19,Approved,Town in Iran.
Lassell,85.6,-20.61,-62.46,-19.89,-21.33,-61.68,-63.22,"Crater, craters",mc18,Approved,William; British astronomer (1799-1880).
Lasswitz,108.04,-9.31,138.31,-8.4,-10.22,139.23,137.38,"Crater, craters",mc23,Approved,Kurd; German author (1848-1910).
Lau,106.92,-74.3,-107.48,-73.4,-75.21,-104.12,-110.83,"Crater, craters",mc30,Approved,Hans E.; Danish astronomer (1879-1918).
Laylá,19.36,-61.11,107.12,-60.94,-61.27,107.46,106.78,"Crater, craters",mc28,Approved,Town in Saudi Arabia. 
Layl Cavus,48.4,-10.4,-98.6,-10.1,-10.7,-98.2,-99,"Cavus, cavi",mc17,Approved,Arabic word for night.
Lebu,19.34,-20.29,-19.47,-20.13,-20.45,-19.29,-19.64,"Crater, craters",mc19,Approved,Town in Chile.
Lederberg,87.25,13.01,-45.92,13.71,12.31,-45.16,-46.68,"Crater, craters",mc10,Approved,Joshua; American molecular biologist (1925-2008).
Leighton,65.94,3.08,57.75,3.64,2.52,58.31,57.2,"Crater, craters",mc13,Approved,Robert B.; American physicist (1919-1997).
Leleque,8.43,36.46,138.17,36.53,36.39,138.26,138.08,"Crater, craters",mc07,Approved,Town in Argentina.
Lemgo,15.73,-42.5,-34.79,-42.37,-42.64,-34.6,-34.96,"Crater, craters",mc26,Approved,Town in Germany.
Lemuria,0,69.78,160,69.78,69.78,160,160,Albedo Feature,mc01,Approved,Designation of purported drowned continent south of India; also relates to lemur monkeys found on Madagascar and Sunda Islands.
Lenya,14.96,-26.72,-106.8,-26.59,-26.85,-106.66,-106.94,"Crater, craters",mc17,Approved,Town in Burma.
Lethe Vallis,236.65,3.16,154.97,4.55,2.96,156.08,153.62,"Vallis, valles",mc15,Approved,"River in Katmai National Monument, Alaska, USA."
Leuk,3.44,23.91,-55.01,23.94,23.88,-54.98,-55.04,"Crater, craters",mc10,Approved,Town in Switzerland.
Le Verrier,137.55,-37.71,17.1,-36.56,-38.88,18.56,15.63,"Crater, craters",mc27,Approved,Urbain J.; French astronomer (1811-1877).
Lexington,5.17,21.81,-48.63,21.85,21.77,-48.59,-48.68,"Crater, craters",mc10,Approved,American colonial town (Massachusetts).
Liais,122.78,-75.3,106.93,-74.26,-76.35,111.04,102.82,"Crater, craters",mc30,Approved,Emmanuel; French astronomer (1826-1900).
Liberta,25.1,35.23,-55.45,35.41,35.04,-55.19,-55.71,"Crater, craters",mc04,Approved,Town in Antigua and Barbuda.
Libertad,31.19,23.06,-29.41,23.32,22.8,-29.12,-29.69,"Crater, craters",mc11,Approved,Town in Venezuela.
Libya,0,0,90,0,0,90,90,Albedo Feature,,Approved,Area from W. Egypt to greater Syrtis.
Libya Montes,1043.63,1.44,88.23,6.57,-1.22,96.59,78.99,"Mons, montes",mc13,Approved,Classical albedo feature name.
Licus Vallis,240,-3.05,126.35,-1.45,-4.35,127.34,125.33,"Vallis, valles",mc22,Approved,"Ancient name for modern Lech River, France."
Li Fan,105.58,-46.88,-153.06,-45.99,-47.77,-151.75,-154.36,"Crater, craters",mc24,Approved,Chinese astronomer (c. A.D. 85).
Linpu,18.16,18.14,113.21,18.3,17.99,113.37,113.05,"Crater, craters",mc14,Approved,Town in China (Chekiang).
Lins,6.17,15.76,-29.8,15.81,15.71,-29.75,-29.85,"Crater, craters",mc11,Approved,Town in Brazil.
Lipany,50.1,-0.22,79.67,0.2,-0.64,80.09,79.25,"Crater, craters",mc21,Approved,Town in Slovakia.
Lipik,48.95,-38.41,111.61,-38,-38.83,112.14,111.08,"Crater, craters",mc28,Approved,Town in Croatia.
Liris Valles,596.24,-10.5,58.25,-8.3,-14.95,61.38,52.68,"Vallis, valles",mc21,Approved,"Ancient name for modern Liri River, Italy."
Lisboa,1.17,21.24,-47.59,21.25,21.23,-47.57,-47.6,"Crater, craters",mc10,Approved,Portuguese port.
Lismore,9.34,27.04,-41.65,27.12,26.96,-41.56,-41.73,"Crater, craters",mc11,Approved,Town in Ireland.
Littleton,7.35,15.7,107.14,15.76,15.64,107.21,107.08,"Crater, craters",mc14,Approved,"Town in Maine, USA."
Liu Hsin,134.51,-53.2,-171.55,-52.06,-54.33,-169.65,-173.44,"Crater, craters",mc24,Approved,Chinese astronomer (d. A.D. 22).
Livny,9.29,-27.16,-29.12,-27.08,-27.24,-29.03,-29.2,"Crater, craters",mc19,Approved,Town in Russia.
Llanesco,29.4,-28.18,-101.11,-27.93,-28.43,-100.83,-101.39,"Crater, craters",mc17,Approved,"Probably named for Llanes, a town in Spain."
Lobo Vallis,80,26.82,-61.17,27.37,26.33,-60.77,-61.65,"Vallis, valles",mc10,Approved,Modern river in Ivory Coast.
Locana,6.64,-3.39,-38.09,-3.34,-3.45,-38.03,-38.14,"Crater, craters",mc19,Approved,Town in Italy.
Lockyer,71.35,27.84,160.51,28.45,27.24,161.19,159.83,"Crater, craters",mc15,Approved,Joseph N.; British astronomer (1836-1920).
Locras Valles,351.32,8.84,48.26,11.01,6.71,51.2,45.31,"Vallis, valles",mc13,Approved,Ancient name for river on Corsica.
Lod,7.6,20.98,-31.54,21.05,20.92,-31.47,-31.61,"Crater, craters",mc11,Approved,Town in Israel.
Lodwar,15.01,-55.09,-43.32,-54.96,-55.22,-43.09,-43.53,"Crater, craters",mc26,Approved,Town in Kenya.
Lohse,151.01,-43.24,-16.69,-41.96,-44.51,-14.95,-18.45,"Crater, craters",mc26,Approved,Oswald; German astronomer (1845-1915).
Loire Valles,790,-17.69,-17.03,-14.09,-22.27,-13.67,-21.21,"Vallis, valles",mc19,Approved,Modern river in France.
Loja,9.9,41.22,136.21,41.3,41.14,136.32,136.1,"Crater, craters",mc07,Approved,Town in Ecuador.
Lomela,11.16,-81.65,-56.19,-81.55,-81.74,-55.52,-56.82,"Crater, craters",mc30,Approved,Town in Zaire.
Lomonosov,130.53,65.04,-9.24,66.14,63.94,-6.61,-11.83,"Crater, craters",mc01,Approved,"Mikhail Vasilievich; Russian poet, scientist, and grammarian (1711-1765)."
Lonar,11.07,72.99,38.29,73.09,72.9,38.61,37.97,"Crater, craters",mc01,Approved,Town in India. 
Longa,10.97,-20.67,-25.94,-20.58,-20.76,-25.84,-26.04,"Crater, craters",mc19,Approved,Town in Angola.
Loon,7.71,-18.84,113.45,-18.78,-18.91,113.52,113.38,"Crater, craters",mc22,Approved,"Town in Ontario, Canada."
López,85,-14.57,98.04,-13.89,-15.25,98.79,97.3,"Crater, craters",mc22,Approved,Epidio López; Mexican astronomer and author (1879-1965).
Lorica,58.49,-19.83,-28.33,-19.34,-20.32,-27.8,-28.85,"Crater, craters",mc19,Approved,Town in Colombia.
Los,8.05,-35.08,-76.23,-35.01,-35.15,-76.15,-76.31,"Crater, craters",mc25,Approved,Town in Sweden.
Lota,14.68,46.32,-11.8,46.44,46.19,-11.62,-11.98,"Crater, craters",mc04,Approved,Town in Chile.
Loto,22.14,-21.88,-22.44,-21.7,-22.07,-22.24,-22.64,"Crater, craters",mc19,Approved,Town in Zaire.
Louros Valles,516.14,-8.41,-81.77,-7.46,-9.94,-77.47,-86.25,"Vallis, valles",mc18,Approved,Modern river in Greece.
Louth,36.29,70.19,103.24,70.5,69.88,104.14,102.33,"Crater, craters",mc01,Approved,Town in Ireland.
Lowbury,17.18,42.41,-92.92,42.56,42.27,-92.72,-93.11,"Crater, craters",mc03,Approved,"Named for a town in New Zealand, probably Lowburn incorrectly recorded as Lowbury."
Lowell,202.22,-51.96,-81.5,-50.28,-53.69,-78.71,-84.25,"Crater, craters",mc25,Approved,Percival; American astronomer (1855-1916).
Luba,38.33,-18.26,-37,-17.93,-18.58,-36.66,-37.33,"Crater, craters",mc19,Approved,Town in the Republic of Equatorial Guinea.
Lucaya,34.21,-11.55,51.91,-11.27,-11.84,52.21,51.61,"Crater, craters",mc21,Approved,Town in the Commonwealth of the Bahamas.
Luck,7.75,17.26,-36.91,17.33,17.2,-36.84,-36.98,"Crater, craters",mc11,Approved,"Town in Wisconsin, USA."
Lucus Planum,899.87,-4.99,-177.17,2.25,-11.88,-169.57,175.56,"Planum, plana",mc16,Approved,Albedo feature name.
Luga,44.56,-44.25,-47.42,-43.87,-44.63,-46.89,-47.94,"Crater, craters",mc26,Approved,Town in Russia.
Luki,20.8,-29.53,-37.37,-29.35,-29.7,-37.17,-37.57,"Crater, craters",mc19,Approved,Town in Ukraine.
Lunae Mensa,114.75,23.91,-62.5,24.46,23.47,-61.53,-63.53,"Mensa, mensae",mc10,Approved,Albedo feature name.
Lunae Palus,0,14.83,-65,14.83,14.83,-65,-65,Albedo Feature,mc10,Approved,"Roman Moon goddess Luna; ""Luna's Swamp,"" or African Lunae Mountains where Nile was thought to originate."
Lunae Planum,1817.66,10.79,-65.51,24.07,-4.74,-54.57,-79.57,"Planum, plana",mc10,Approved,Classical albedo feature name.
Luqa,17.14,-18.23,131.82,-18.08,-18.37,131.98,131.67,"Crater, craters",mc22,Approved,Town in Malta.
Lutsk,4.85,38.7,-3.09,38.74,38.66,-3.03,-3.14,"Crater, craters",mc04,Approved,Town in Ukraine.
Luzin,101.04,27.06,31.28,27.92,26.21,32.24,30.33,"Crater, craters",mc12,Approved,N. N.; Russian mathematician (1883-1950).
Lycus Sulci,1350.61,28.14,-144.47,34.48,12.38,-130.83,-150.75,"Sulcus, sulci",mc08,Approved,Classical albedo feature name.
Lydda,33.83,24.42,-31.95,24.71,24.14,-31.64,-32.27,"Crater, craters",mc11,Approved,Town in Israel.
Lyell,121.83,-69.91,-15.47,-68.88,-70.94,-12.46,-18.45,"Crater, craters",mc30,Approved,Charles; British geologist (1797-1875).
Lyot,221.53,50.47,29.34,52.34,48.6,32.28,26.41,"Crater, craters",mc05,Approved,Bernard; French astronomer (1897-1952).
Ma'adim Vallis,913.11,-21.98,177.5,-15.61,-28.15,178.38,175.65,"Vallis, valles",mc23,Approved,"Word for ""Mars"" in Hebrew."
Mädler,124.16,-10.65,2.77,-9.61,-11.7,3.83,1.7,"Crater, craters",mc20,Approved,Johann H. von; German astronomer (1794-1874).
Madrid,3.8,48.45,135.44,48.48,48.42,135.47,135.4,"Crater, craters",mc07,Approved,Spanish tracking site.
Mad Vallis,537.37,-56.27,76.47,-52.33,-60.21,78.09,74.37,"Vallis, valles",mc28,Approved,"Modern river, Vermont, USA."
Mafra,13.35,-44.02,-53.15,-43.91,-44.13,-52.99,-53.3,"Crater, craters",mc26,Approved,Town in Brazil.
Magadi,50.79,-34.52,-46.07,-34.09,-34.95,-45.54,-46.58,"Crater, craters",mc26,Approved,Town in Kenya.
Magelhaens,103.8,-32.36,-174.58,-31.48,-33.23,-173.55,-175.62,"Crater, craters",mc24,Approved,Fernao de; Portuguese navigator (1480-1521).
Maggini,139.06,27.78,9.5,28.96,26.61,10.83,8.17,"Crater, craters",mc12,Approved,Mentore; Italian astronomer (1890-1941).
Mago,2.74,15.92,105.36,15.95,15.9,105.38,105.33,"Crater, craters",mc14,Approved,Town in Russia.
Magong,46.56,11.89,-46.69,12.28,11.49,-46.31,-47.06,"Crater, craters",mc10,Approved,Town in Taiwan (also spelled Makung).
Maidstone,9.39,-41.56,-54.22,-41.48,-41.63,-54.11,-54.33,"Crater, craters",mc26,Approved,Town in England.
Main,110.99,-76.54,49.01,-75.61,-77.48,53.04,44.99,"Crater, craters",mc30,Approved,Robert; British astronomer (1808-1878).
Maja Valles,1515,10.23,-58.38,20.54,0.33,-49.74,-61.62,"Vallis, valles",mc10,Approved,"Nepali word for ""Mars""."
Majuro,43.43,-33.26,84.33,-32.89,-33.63,84.76,83.91,"Crater, craters",mc28,Approved,Capital of the Republic of the Marshall Islands.
Makhambet,15.85,28.43,-40.47,28.56,28.3,-40.32,-40.62,"Crater, craters",mc11,Approved,Town in Kazakhstan.
Malam Cavus,48,-11.2,-98.1,-10.9,-11.7,-97.9,-98.4,"Cavus, cavi",mc17,Approved,Indonesian word for night.
Malea Patera,241.61,-63.54,51.59,-61.17,-65.05,55.53,48.18,"Patera, paterae",mc27,Approved,Classical albedo feature name.
Malea Planum,872.47,-65.82,62.94,-58.54,-70.07,78.59,46.08,"Planum, plana",mc30,Approved,"From albedo feature at 60S, 290W."
Malino,16,18,-24.72,18.13,17.86,-24.58,-24.86,"Crater, craters",mc11,Approved,Town in Indonesia.
Mambali,31,-23.51,27.03,-23.25,-23.78,27.29,26.77,"Crater, craters",mc20,Approved,Town in Tanzania.
Mamers Valles,1020,40.65,17.94,47.46,30.89,25.13,9.31,"Vallis, valles",mc05,Approved,"Word for ""Mars"" in Oscan."
Manah,9.9,-4.66,-33.61,-4.58,-4.74,-33.53,-33.69,"Crater, craters",mc19,Approved,Town in Oman.
Mandora,55.94,12.22,-53.63,12.69,11.75,-53.14,-54.1,"Crater, craters",mc10,Approved,Town in Australia.
Mangala Fossa,695,-17.27,-145.88,-15.19,-19.13,-140.39,-151.85,"Fossa, fossae",mc16,Approved,Named for nearby valles.
Mangala Valles,900,-11.32,-151.39,-4.3,-18.2,-149.2,-151.85,"Vallis, valles",mc16,Approved,"Word for ""Mars"" in Sanskrit."
Manti,15.64,-3.58,-37.57,-3.45,-3.71,-37.44,-37.7,"Crater, craters",mc19,Approved,"Town in Utah, USA."
Manzī,7.52,-22.15,-27.47,-22.08,-22.21,-27.4,-27.54,"Crater, craters",mc19,Approved,Town in Burma.
Maraldi,118.24,-61.92,-31.96,-60.92,-62.92,-29.82,-34.07,"Crater, craters",mc26,Approved,Giacomo F.; French astronomer (1665-1729).
Marbach,24.74,17.65,111.03,17.86,17.44,111.25,110.82,"Crater, craters",mc14,Approved,Town in Switzerland.
Marca,78.35,-9.98,-158.15,-9.32,-10.64,-157.47,-158.82,"Crater, craters",mc16,Approved,Village in Peru.
Mare Acidalium,0,44.66,-30,44.66,44.66,-30,-30,Albedo Feature,mc04,Approved,Name for Acidalian (Venusian) fountain in Boeotia where the Graces bathed.
Mare Australe,0,-59.71,-10,-59.71,-59.71,-10,-10,Albedo Feature,mc26,Approved,"""South Sea"""
Mare Boreum,0,59.71,180,59.71,59.71,180,180,Albedo Feature,mc07,Approved,"""North Sea"""
Mare Chronium,0,-57.7,150,-57.7,-57.7,150,150,Albedo Feature,mc29,Approved,"""Cronian Sea"", northern part of World Sea where eternal dead calm, dangerous to ships, prevailed."
Mare Cimmerium,0,-19.78,140,-19.78,-19.78,140,140,Albedo Feature,mc23,Approved,"Cimmerians were ancient Thracian seafarers; ""far western sea"" (Homer)."
Mare Erythraeum,0,-24.74,-40,-24.74,-24.74,-40,-40,Albedo Feature,mc19,Approved,Indian Ocean.
Mare Hadriacum,0,-39.67,90,-39.67,-39.67,90,90,Albedo Feature,mc28,Approved,Adriatic Sea.
Mareotis Fossae,1907.94,44.34,-76.12,53.11,33.38,-57.52,-92.84,"Fossa, fossae",mc03,Approved,"From albedo feature at 32N, 96W."
Mare Serpentis,0,-29.71,40,-29.71,-29.71,40,40,Albedo Feature,mc20,Approved,Named for Constellation Serpens (the snake).
Mare Sirenum,0,-29.71,-155,-29.71,-29.71,-155,-155,Albedo Feature,mc16,Approved,"""Sea of the Sirens."""
Mare Tyrrhenum,0,-19.78,105,-19.78,-19.78,105,105,Albedo Feature,mc22,Approved,"Tyrrhenian Sea, between Italy and Sicily."
Margaritifer Chaos,383.67,-9.3,-21.7,-5.93,-10.51,-18.62,-25.14,"Chaos, chaoses",mc19,Approved,Classical albedo feature name.
Margaritifer Sinus,0,-9.88,-25,-9.88,-9.88,-25,-25,Albedo Feature,mc19,Approved,"""Pearl Bay,"" after Pearl Coast, South India."
Margaritifer Terra,2733.22,-1.85,-24.92,19.71,-23.6,-9.44,-39.53,"Terra, terrae",mc19,Approved,Classical albedo feature name.
Mari,37.05,-52.01,-45.88,-51.7,-52.32,-45.37,-46.38,"Crater, craters",mc26,Approved,Ruined city in Syria.
Maricourt,9.9,53.34,-71.17,53.42,53.25,-71.03,-71.31,"Crater, craters",mc03,Approved,Town in Canada. 
Marikh Vallis,1147.22,-19.16,4.32,-11.64,-27.25,5.51,2.33,"Vallis, valles",mc20,Approved,Malaysian word for Mars. 
Mariner,156.58,-34.68,-164.24,-33.36,-36,-162.62,-165.84,"Crater, craters",mc24,Approved,Named for Mariner IV spacecraft.
Marte Vallis,231.43,14.08,-177.1,22.12,6.44,-170.55,177.29,"Vallis, valles",mc08,Approved,"Spanish word for ""Mars""."
Marth,96.69,12.94,-3.45,13.75,12.12,-2.6,-4.28,"Crater, craters",mc11,Approved,Albert; German astronomer (1828-1897).
Martin,61.11,-21.34,-69.25,-20.83,-21.86,-68.7,-69.8,"Crater, craters",mc18,Approved,"James S., Jr.; American engineer (1920-2002)."
Martynov,61.13,-30.36,-36.41,-29.86,-30.86,-35.81,-37.01,"Crater, craters",mc26,Approved,Dmitry Yakovlevich; Russian astronomer (1906-1989).
Martz,92.74,-34.91,144.18,-34.13,-35.7,145.15,143.24,"Crater, craters",mc29,Approved,Edwin P.; American physicist (1916-1967).
Marysville,1.85,18.13,77.18,18.15,18.12,77.19,77.16,"Crater, craters",mc13,Approved,"Town in California, USA."
Masursky,115.34,12.07,-32.3,13.04,11.09,-31.3,-33.29,"Crater, craters",mc11,Approved,Harold; American astrogeologist (1922-1990).
Matara,48.84,-49.61,34.59,-49.2,-50.02,35.23,33.96,"Crater, craters",mc27,Approved,Town in Sri Lanka.
Matrona Vallis,61.28,-7.66,176.19,-7.2,-8.07,176.4,176.17,"Vallis, valles",mc23,Approved,"Classical name for present Marne River, France."
Maumee Valles,390,19.51,-52.85,20.65,18.21,-49.85,-56.22,"Vallis, valles",mc10,Approved,"North American river (Indiana, Ohio)."
Maunder,90.84,-49.6,1.75,-48.84,-50.37,2.93,0.57,"Crater, craters",mc27,Approved,Edward W.; British astronomer (1851-1928).
Mawrth Vallis,634.63,22.43,-16.97,26.12,18.78,-13.37,-19.79,"Vallis, valles",mc11,Approved,"Welsh word for ""Mars""."
Mazamba,52.29,-27.53,-69.67,-27.09,-27.97,-69.17,-70.16,"Crater, craters",mc18,Approved,Town in Mozambique.
McCauley,90,-27.35,83.23,-26.58,-28.11,84.07,82.35,"Crater, craters",mc21,Approved,John “Jack”; American geologist (1932-2012).
McLaughlin,90.92,21.9,-22.37,22.66,21.13,-21.53,-23.19,"Crater, craters",mc11,Approved,Dean B.; American astronomer (1901-1965).
McMurdo,26.9,-84.38,0.59,-84.16,-84.61,2.92,-1.74,"Crater, craters",mc30,Approved,American station in Antarctica.
Medrissa,19.52,18.64,-56.57,18.81,18.48,-56.39,-56.74,"Crater, craters",mc10,Approved,Town in Algeria.
Medusae Fossae,278.52,-2.17,-164.2,-1.39,-6.04,-160.69,-164.96,"Fossa, fossae",mc16,Approved,Classical albedo feature name.
Medusae Sulci,191.52,-5.04,-159.7,-3.34,-6.57,-159.13,-161.31,"Sulcus, sulci",mc16,Approved,Albedo feature name.
Mega,16.95,-1.43,-36.9,-1.29,-1.57,-36.76,-37.05,"Crater, craters",mc19,Approved,Town in Ethiopia.
Meget,4.59,18.86,107.31,18.9,18.83,107.35,107.27,"Crater, craters",mc14,Approved,Town in Russia.
Melas Chasma,563.52,-10.52,-72.54,-7.23,-13.96,-68.11,-77.54,"Chasma, chasmata",mc18,Approved,Classical albedo feature name.
Melas Dorsa,486.81,-18.92,-72.1,-14.81,-23.02,-69.86,-74.48,"Dorsum, dorsa",mc18,Approved,Classical albedo feature name.
Melas Fossae,568.18,-26.28,-71.52,-21.43,-30.56,-68.99,-77.35,"Fossa, fossae",mc18,Approved,Classical albedo feature name.
Melas Labes,107.24,-8.53,-71.7,-7.63,-9.44,-71.04,-72.33,"Labes, labēs",mc18,Approved,"From albedo feature at 10S, 74W."
Melas Mensa,245,-10.72,-74.15,-9.15,-12.28,-72.62,-76.27,"Mensa, mensae",mc18,Approved,"Classical martian albedo feature, Melas."
Mellish,104.95,-72.63,-23.74,-71.74,-73.51,-20.76,-26.69,"Crater, craters",mc30,Approved,John E.; American amateur astronomer (1886-1970).
Mellit,22.53,7.12,-1.73,7.31,6.93,-1.54,-1.92,"Crater, craters",mc11,Approved,Town in Sudan.
Memnonia,0,-19.78,-150,-19.78,-19.78,-150,-150,Albedo Feature,mc16,Approved,"Land of Memnon, King of Ethiopia."
Memnonia Fossae,1585.28,-23.63,-153.82,-19.11,-27.49,-139.74,-169.61,"Fossa, fossae",mc16,Approved,Classical albedo feature name.
Memnonia Sulci,452.66,-7.16,-175.83,-3.81,-10.38,-172.33,-179.95,"Sulcus, sulci",mc16,Approved,Albedo feature name.
Mena,29.91,-32.11,-18.76,-31.86,-32.36,-18.46,-19.05,"Crater, craters",mc26,Approved,Town in Russia.
Mendel,77.32,-58.78,161.25,-58.13,-59.44,162.51,159.99,"Crater, craters",mc29,Approved,Gregor J.; Austrian biologist (1822-1884).
Mendota,8.86,35.83,138.33,35.9,35.75,138.43,138.24,"Crater, craters",mc07,Approved,"town in Illinois, USA."
Meridiani Planum,1058.53,-0.04,-3.14,8.78,-4,7,-10.9,"Planum, plana",mc19,Approved,Classical albedo feature name.
Meridiani Serpentes,95,1.3,8.1,2.07,0.53,8.83,7.25,"Serpens, serpentes",mc12,Approved,Classical albedo feature name.
Meroe,0,34.68,75,34.68,34.68,75,75,Albedo Feature,mc06,Approved,Ethiopian island on Nile; now Atbar.
Meroe Patera,52.6,6.98,68.77,7.43,6.55,69.17,68.32,"Patera, paterae",mc13,Approved,Classical albedo feature name.
Micoud,51.85,50.56,16.34,51,50.12,17.02,15.65,"Crater, craters",mc05,Approved,Town in Saint Lucia.
Mie,100.91,48.16,139.65,49.02,47.31,140.93,138.38,"Crater, craters",mc07,Approved,Gustav; German physicist (1868-1957).
Mila,10.87,-27.16,-20.75,-27.07,-27.25,-20.65,-20.85,"Crater, craters",mc19,Approved,Town in Algeria.
Milankovič,113.51,54.46,-146.58,55.42,53.51,-144.92,-148.22,"Crater, craters",mc02,Approved,"Milutin; Yugoslav geophysicist, astrophysicist (1879-1958)."
Milford,24.97,-52.41,-41.49,-52.2,-52.62,-41.14,-41.83,"Crater, craters",mc26,Approved,"Town in Utah, USA."
Millman,73.84,-53.95,-149.64,-53.33,-54.57,-148.57,-150.69,"Crater, craters",mc24,Approved,Peter; Canadian astronomer (1906-1990).
Millochau,112.89,-21.19,85.1,-20.24,-22.14,86.13,84.09,"Crater, craters",mc21,Approved,Gaston; French astronomer (b. 1866).
Milna,27.48,-23.46,-12.24,-23.23,-23.69,-11.99,-12.49,"Crater, craters",mc19,Approved,Town in the Republic of Croatia.
Minio Vallis,90,-4.38,-151.67,-3.76,-4.97,-151.2,-152.02,"Vallis, valles",mc16,Approved,Classical name for river in Italy.
Mirtos,6.38,22.12,-51.76,22.18,22.07,-51.7,-51.81,"Crater, craters",mc10,Approved,Town in Greece (Crete).
Mistretta,16.56,-24.68,-109.13,-24.54,-24.82,-108.97,-109.28,"Crater, craters",mc17,Approved,Town in Sicily.
Mitchel,135.9,-67.53,76.01,-66.37,-68.68,79.03,72.99,"Crater, craters",mc30,Approved,Ormsby M.; American astronomer (1809-1862).
Miyamoto,145.21,-2.87,-6.95,-1.64,-4.09,-5.72,-8.17,"Crater, craters",mc19,Approved,Shotaro; Japanese astronomer (1912-1992).
Mliba,11.85,-39.61,87.98,-39.51,-39.71,88.11,87.85,"Crater, craters",mc28,Approved,Town in Swaziland.
Moab,0,19.78,10,19.78,19.78,10,10,Albedo Feature,mc12,Approved,Biblical town bordering Edom.
Moanda,38.88,-35.93,-39.95,-35.6,-36.25,-39.54,-40.35,"Crater, craters",mc26,Approved,Town in Gabon.
Moa Valles,265,35.62,-54.7,36.75,35.02,-53.01,-57.1,"Vallis, valles",mc04,Approved,River in Sierra Leone.
Moeris Lacus,0,7.91,90,7.91,7.91,90,90,Albedo Feature,mc13,Approved,"""Moeris Lake;"" Moeris was Egyptian lake in Libyan Desert."
Mohawk,17.49,42.89,-5.35,43.04,42.74,-5.15,-5.55,"Crater, craters",mc04,Approved,"Town in New York, USA."
Mojave,57.97,7.48,-32.99,7.97,7,-32.49,-33.47,"Crater, craters",mc11,Approved,"Town in California, USA."
Molesworth,168.87,-27.5,149.27,-26.07,-28.92,150.89,147.67,"Crater, craters",mc23,Approved,Percy B.; British astronomer (1867-1908).
Moni,5.44,-47.01,18.77,-46.96,-47.06,18.83,18.71,"Crater, craters",mc27,Approved,Village in Cyprus.
Montevallo,50.42,15.25,-54.27,15.68,14.83,-53.82,-54.7,"Crater, craters",mc10,Approved,"Town in Alabama, USA."
Morava Valles,364.1,-13.57,-24.2,-11.22,-15.91,-22.44,-26.63,"Vallis, valles",mc19,Approved,River in the Czech Republic. 
Morella,76.97,-9.58,-51.39,-8.93,-10.23,-50.72,-52.04,"Crater, craters",mc18,Approved,Town in Spain.
Moreux,131.55,41.79,44.54,42.9,40.68,46.03,43.06,"Crater, craters",mc05,Approved,Theophile; French astronomer and meteorologist (1867-1954).
Moroz,116.3,-23.77,-20.57,-22.79,-24.75,-19.49,-21.64,"Crater, craters",mc19,Approved,Vasily Ivanovich; Russian planetary scientist (1931-2004).
Morpheos Rupes,404.15,-36,125.58,-35.54,-36.42,129.06,121.85,"Rupes, rupēs",mc29,Approved,Classical albedo feature name.
Mosa Vallis,191.6,-15.09,22.2,-13.98,-16.37,22.69,21.17,"Vallis, valles",mc20,Approved,Modern river in Western Europe.
Moss,9.09,19.23,109.49,19.31,19.16,109.57,109.41,"Crater, craters",mc14,Approved,Town in Norway.
Muara,3.83,24.32,-19.31,24.35,24.29,-19.28,-19.35,"Crater, craters",mc11,Approved,Town in Brunei.
Müller,120.51,-25.74,127.89,-24.72,-26.75,129.02,126.76,"Crater, craters",mc22,Approved,"Hermann J.; American geneticist (1890-1967), and Carl H.; German astronomer (1851-1925)."
Munda Vallis,9.13,-5.37,-146.17,-5.29,-5.44,-146.16,-146.17,"Vallis, valles",mc16,Approved,"Classical name for river in ancient Lusitania, (modern Mondega River in Portugal)."
Murgoo,22.64,-23.64,-22.45,-23.44,-23.82,-22.24,-22.65,"Crater, craters",mc19,Approved,Town in Australia.
Murray,92,-23.29,28.06,-22.5,-24.08,28.9,27.22,"Crater, craters",mc20,Approved,Bruce Churchill; American planetary scientist (1931-2013).
Mut,6.97,22.36,-35.76,22.42,22.3,-35.7,-35.83,"Crater, craters",mc11,Approved,Town in Turkey.
Mutch,198.81,0.6,-55.21,2.27,-1.08,-53.52,-56.88,"Crater, craters",mc10,Approved,"Dr. Thomas A.; American geologist, Viking Lander Imaging Team leader (1931-1980)."
Naar,11.34,22.91,-42.13,23.01,22.82,-42.03,-42.23,"Crater, craters",mc11,Approved,Town in Egypt.
Naic,8.68,24.45,107.44,24.53,24.38,107.52,107.36,"Crater, craters",mc14,Approved,Town in the Philippines.
Nain,6.89,41.47,126.84,41.53,41.41,126.92,126.77,"Crater, craters",mc07,Approved,"Town in Newfoundland, Canada."
Naju,8.03,44.99,122.86,45.06,44.92,122.96,122.76,"Crater, craters",mc07,Approved,Town in the Republic of Korea.
